direction,year,month,day,class,class_count
SIB,20,4,9,7,25
SIB,20,9,8,3,8348
SIB,20,5,9,2,33021
SIB,20,10,5,4,221
SIB,20,9,25,5,1940
SIB,20,11,20,3,8018
SIB,20,12,19,3,2048
SIB,20,6,5,5,1732
SIB,20,1,8,5,1894
SIB,20,7,2,9,871
SIB,20,7,16,8,483
SIB,20,10,27,11,44
SIB,20,7,27,7,475
SIB,20,5,13,1,363
SIB,20,11,11,11,33
SIB,20,7,11,11,55
SIB,20,4,24,11,50
SIB,20,9,22,10,246
SIB,20,12,4,4,233
SIB,20,1,15,11,61
SIB,20,9,24,7,342
SIB,20,2,20,2,48091
SIB,20,6,25,3,8842
SIB,20,7,2,6,965
SIB,20,2,24,2,45192
SIB,20,8,5,2,42364
SIB,20,2,18,2,44671
SIB,20,7,13,3,6942
SIB,20,11,7,5,857
SIB,20,7,6,9,942
SIB,20,8,30,9,279
SIB,20,2,26,1,848
SIB,20,10,6,10,111
SIB,20,2,2,5,448
SIB,20,5,9,8,229
SIB,20,9,20,10,30
SIB,20,2,24,9,1156
SIB,20,5,16,10,116
SIB,20,8,12,1,1001
SIB,20,4,6,4,70
SIB,20,2,1,1,123
SIB,20,1,24,11,55
SIB,20,9,20,11,17
SIB,20,5,5,5,1627
SIB,20,7,3,6,507
SIB,20,5,26,1,789
SIB,20,2,28,5,1967
SIB,20,4,10,5,1045
SIB,20,9,22,6,1066
SIB,20,8,15,5,886
SIB,20,7,19,3,4090
SIB,20,5,14,11,79
SIB,20,7,9,10,135
SIB,20,8,3,7,209
SIB,20,3,10,7,298
SIB,20,5,29,7,207
SIB,20,3,28,11,26
SIB,20,1,1,1,117
SIB,20,8,16,9,244
SIB,20,10,23,13,71
SIB,20,12,2,4,87
SIB,20,1,31,3,8541
SIB,20,8,30,2,53635
SIB,20,7,3,2,49963
