direction,year,month,day,class,class_count,year_month_day,pre_post_bool,month_day
QB,21,5,24,2,46847,210524,0,524
QB,21,5,24,12,4,210524,0,524
QB,21,5,24,10,97,210524,0,524
QB,21,5,24,6,812,210524,0,524
QB,21,5,24,13,4,210524,0,524
QB,21,5,24,3,8286,210524,0,524
QB,21,5,24,7,99,210524,0,524
QB,21,5,24,9,1713,210524,0,524
QB,21,5,24,8,417,210524,0,524
QB,21,5,24,4,191,210524,0,524
QB,21,5,24,1,66,210524,0,524
QB,21,5,24,5,2176,210524,0,524
QB,21,5,25,1,84,210525,0,525
QB,21,5,25,10,100,210525,0,525
QB,21,5,25,2,45583,210525,0,525
QB,21,5,25,12,1,210525,0,525
QB,21,5,25,13,14,210525,0,525
QB,21,5,25,8,478,210525,0,525
QB,21,5,25,3,8217,210525,0,525
QB,21,5,25,7,119,210525,0,525
QB,21,5,25,4,258,210525,0,525
QB,21,5,25,5,2295,210525,0,525
QB,21,5,25,6,903,210525,0,525
QB,21,5,25,9,1752,210525,0,525
QB,21,5,25,11,52,210525,0,525
QB,21,5,26,5,2063,210526,0,526
QB,21,5,26,2,39509,210526,0,526
QB,21,5,26,6,1038,210526,0,526
QB,21,5,26,11,66,210526,0,526
QB,21,5,26,10,90,210526,0,526
QB,21,5,26,13,19,210526,0,526
QB,21,5,26,12,4,210526,0,526
QB,21,5,26,1,297,210526,0,526
QB,21,5,26,9,1576,210526,0,526
QB,21,5,26,7,69,210526,0,526
QB,21,5,26,8,452,210526,0,526
QB,21,5,26,4,326,210526,0,526
QB,21,5,26,3,6897,210526,0,526
QB,21,5,27,4,292,210527,0,527
QB,21,5,27,3,7847,210527,0,527
QB,21,5,27,6,958,210527,0,527
QB,21,5,27,5,2282,210527,0,527
QB,21,5,27,13,14,210527,0,527
QB,21,5,27,9,1735,210527,0,527
QB,21,5,27,1,194,210527,0,527
QB,21,5,27,7,100,210527,0,527
QB,21,5,27,10,84,210527,0,527
QB,21,5,27,11,57,210527,0,527
QB,21,5,27,12,4,210527,0,527
QB,21,5,27,8,476,210527,0,527
QB,21,5,27,2,43899,210527,0,527
QB,21,5,28,11,56,210528,0,528
QB,21,5,28,4,218,210528,0,528
QB,21,5,28,5,2033,210528,0,528
QB,21,5,28,1,79,210528,0,528
QB,21,5,28,2,42648,210528,0,528
