direction,year,month,day,class,class_count,year_month_date_type_int,year_month_date,week_day
QB,19,11,21,11,72,191121,2019-11-21,473
QB,19,11,21,12,3,191121,2019-11-21,473
QB,19,11,21,6,1097,191121,2019-11-21,473
QB,19,11,21,1,166,191121,2019-11-21,473
QB,19,11,21,3,8148,191121,2019-11-21,473
QB,19,11,21,9,2036,191121,2019-11-21,473
QB,19,11,21,2,44292,191121,2019-11-21,473
QB,19,11,21,4,439,191121,2019-11-21,473
QB,19,11,21,10,130,191121,2019-11-21,473
QB,19,11,21,5,2187,191121,2019-11-21,473
QB,19,11,21,13,11,191121,2019-11-21,473
QB,19,11,22,5,2023,191122,2019-11-22,474
QB,19,11,22,11,60,191122,2019-11-22,474
QB,19,11,22,1,105,191122,2019-11-22,474
QB,19,11,22,4,420,191122,2019-11-22,474
QB,19,11,22,3,7919,191122,2019-11-22,474
QB,19,11,22,6,1021,191122,2019-11-22,474
QB,19,11,22,8,520,191122,2019-11-22,474
QB,19,11,22,13,7,191122,2019-11-22,474
QB,19,11,22,7,114,191122,2019-11-22,474
QB,19,11,22,10,106,191122,2019-11-22,474
QB,19,11,22,2,45527,191122,2019-11-22,474
QB,19,11,22,12,5,191122,2019-11-22,474
QB,19,11,22,9,1951,191122,2019-11-22,474
QB,19,11,23,7,14,191123,2019-11-23,475
QB,19,11,23,4,362,191123,2019-11-23,475
QB,19,11,23,5,998,191123,2019-11-23,475
QB,19,11,23,1,54,191123,2019-11-23,475
QB,19,11,23,8,250,191123,2019-11-23,475
QB,19,11,23,9,815,191123,2019-11-23,475
QB,19,11,23,10,39,191123,2019-11-23,475
QB,19,11,23,6,352,191123,2019-11-23,475
QB,19,11,23,13,2,191123,2019-11-23,475
QB,19,11,23,11,46,191123,2019-11-23,475
QB,19,11,23,2,47435,191123,2019-11-23,475
QB,19,11,23,12,1,191123,2019-11-23,475
QB,19,11,23,3,4865,191123,2019-11-23,475
QB,19,11,24,9,490,191124,2019-11-24,476
QB,19,11,24,12,1,191124,2019-11-24,476
QB,19,11,24,7,6,191124,2019-11-24,476
QB,19,11,24,6,149,191124,2019-11-24,476
QB,19,11,24,11,27,191124,2019-11-24,476
QB,19,11,24,1,61,191124,2019-11-24,476
QB,19,11,24,2,46744,191124,2019-11-24,476
QB,19,11,24,8,145,191124,2019-11-24,476
QB,19,11,24,10,7,191124,2019-11-24,476
QB,19,11,24,3,3449,191124,2019-11-24,476
QB,19,11,24,13,1,191124,2019-11-24,476
QB,19,11,24,4,545,191124,2019-11-24,476
QB,19,11,24,5,661,191124,2019-11-24,476
QB,19,11,25,2,39176,191125,2019-11-25,480
QB,19,11,25,12,5,191125,2019-11-25,480
QB,19,11,25,6,986,191125,2019-11-25,480
QB,19,11,25,9,1776,191125,2019-11-25,480
QB,19,11,25,3,7477,191125,2019-11-25,480
QB,19,11,25,11,33,191125,2019-11-25,480
QB,19,11,25,7,125,191125,2019-11-25,480
QB,19,11,25,5,2034,191125,2019-11-25,480
QB,19,11,25,4,345,191125,2019-11-25,480
QB,19,11,25,8,345,191125,2019-11-25,480
QB,19,11,25,10,94,191125,2019-11-25,480
QB,19,11,25,1,106,191125,2019-11-25,480
QB,19,11,25,13,11,191125,2019-11-25,480
QB,19,11,26,6,335,191126,2019-11-26,481
QB,19,11,26,13,9,191126,2019-11-26,481
QB,19,11,26,11,40,191126,2019-11-26,481
QB,19,11,26,4,162,191126,2019-11-26,481
QB,19,11,26,3,4110,191126,2019-11-26,481
QB,19,11,26,10,42,191126,2019-11-26,481
QB,19,11,26,12,1,191126,2019-11-26,481
QB,19,11,26,7,22,191126,2019-11-26,481
QB,19,11,26,1,58,191126,2019-11-26,481
QB,19,11,26,8,214,191126,2019-11-26,481
QB,19,11,26,2,30027,191126,2019-11-26,481
QB,19,11,26,5,695,191126,2019-11-26,481
QB,19,11,26,9,752,191126,2019-11-26,481
QB,19,11,27,2,45906,191127,2019-11-27,482
QB,19,11,27,4,368,191127,2019-11-27,482
QB,19,11,27,1,81,191127,2019-11-27,482
QB,19,11,27,8,503,191127,2019-11-27,482
QB,19,11,27,13,13,191127,2019-11-27,482
